Name,DeviceID,Status
Microsoft,AC,Adapter
ThinkPad Thunderbolt 3 Dock,USB,Audio
Microsoft ACPI-Compliant,Embedded,Controller
HP722FB9 (HP OfficeJet Pro,8020,series)
Microsoft ACPI-Compliant Control,Method,Battery
I2C,HID,Device
ACPI,Processor,Aggregator
Intel(R) TypeC PCIE,-,9A27
Root,Print,Queue
Intel CSME,15.0.47.2473,Lp_Corp
Standard NVM,Express,Controller
Microsoft Input,Configuration,Device
Generic,USB,Hub
Standard,PS/2,Keyboard
Microsoft Print,to,PDF
WAN,Miniport,(PPPOE)
Intel(R) USB 3.10 eXtensible Host Controller -,1.20,(Microsoft)
HID-compliant,vendor-defined,device
Microsoft Basic,Display,Driver
Intel(R) Iris(R),Xe,Graphics
ACPI,Thermal,Zone
ACPI,Sleep,Button
Microsoft,Hypervisor,Service
HID-compliant wireless,radio,controls
Intel(R),iCLS,Client
Lenovo,Smart,Standby
HID-compliant,system,controller
HID,Keyboard,Device
Microsoft RRAS,Root,Enumerator
Microsoft Windows Management Interface,for,ACPI
Microsoft Windows Management Interface,for,ACPI
Microsoft Windows Management Interface,for,ACPI
Microsoft Windows Management Interface,for,ACPI
Microsoft Windows Management Interface,for,ACPI
Microsoft Windows Management Interface,for,ACPI
UCM-UCSI,ACPI,Device
WAN,Miniport,(PPTP)
ELAN,TrackPoint,Device
Microsoft Hyper-V Virtualization,Infrastructure,Driver
Generic,USB,Hub
High precision,event,timer
HP OfficeJet Pro 8020,series,[722FB9]
WAN,Miniport,(IKEv2)
Composite,Bus,Enumerator
Microsoft Virtual,Drive,Enumerator
Microsoft Storage,Spaces,Controller
USB,Composite,Device
Intel(R) USB 3.10 eXtensible Host Controller -,1.20,(Microsoft)
Intelr Smart Sound Technology for,Digital,Microphones
USB Root Hub,(USB,3.0)
Microsoft Kernel Debug,Network,Adapter
Programmable,interrupt,controller
Speakers (12-,Realtek(R),Audio)
Realtek Hardware,Support,Application
HP722FB9 (HP OfficeJet Pro,8020,series)
HID-compliant,vendor-defined,device
Intel(R),Wireless,Bluetooth(R)
Synaptics,UWP,WBDI
Intel(R) Serial IO I2C Host Controller,-,A0E9
Lenovo Fn and,function,keys
HID-compliant,vendor-defined,device
Fortemedia APO,Control,Service
Intelr Smart Sound Technology for,USB,Audio
Trusted Platform,Module,2.0
Facial Recognition (Windows Hello),Software,Device
Lenovo Intelligent,Thermal,Solution
Thunderbolt(TM),HSA,Component
UMBus Root,Bus,Enumerator
Lenovo,PM,Device
Charge,Arbitration,Driver
HID-compliant,vendor-defined,device
Synaptics UMDF Util,App,Component
Microsoft Windows Management Interface,for,ACPI
HID-compliant consumer,control,device
Thunderbolt(TM),HSA,Component
Microsoft Radio Device,Enumeration,Bus
HP722FB9 (HP OfficeJet Pro,8020,series)
Intel(R) USB 3.1 eXtensible Host Controller -,1.10,(Microsoft)
Microsoft Input,Configuration,Device
Intel(R) Graphics,Command,Center
Microsoft Device Association,Root,Enumerator
ACPI,x64-based,PC
Realtek Audio,Universal,Service
HID-compliant,touch,pad
WAN Miniport,(Network,Monitor)
WAN,Miniport,(IP)
11th Gen Intel(R) Core(TM) i7-1185G7,@,3.00GHz
11th Gen Intel(R) Core(TM) i7-1185G7,@,3.00GHz
11th Gen Intel(R) Core(TM) i7-1185G7,@,3.00GHz
11th Gen Intel(R) Core(TM) i7-1185G7,@,3.00GHz
